title,overview
Blowin' In The Wind,Blowin' in the Wind examines the secret treaty that allows the US military to train and test its weaponry on Australian soil. It looks at the impact of recycled uranium weapons and the far-reaching physical and moral effects on every Australian. The film's release has been timely as the Australian government currently moves to approve more uranium mines while arguing the contrary - that by going nuclear Australia is being both 'safe' and 'green'.
A Third Wish,A story about an awesome devil named German and his visit to Moscow.
The Playaz Court,"The courts of Englewood are as far removed from the hollowed halls of justice as a street ball player can imagine, but when a pickup game ends in death, the quest for revenge proves that even on the street there's a code of honor. Reggie's best friend is dead, and the pain of his loss leads the hardened player on a quest to ensure that the killer pays for his crime. Upon tracking the killer to a gym, Reggie enters, gun in hand and ready to avenge his friend's death. As the other players declare that no one will die on their court without a fair trial, they listen to both sides of the story to determine if justice will be served with a bullet, or whether the suspected killer will live to play another game."
Indigo,"Indigo is a film about loneliness, redemption, and the healing powers and grace of the new generation of Indigo (psychic and gifted) children being born into the world. Although the story is fictional, the emotions and actions of the film resonate with the spiritual dynamics of life today. The dramatic core of the film is the relationship that develops between a man whose life and family have dissolved due to a fateful mistake and his 10 year-old granddaughter with whom he goes on the run to protect her from a would-be kidnapper. Along the way, he discovers the power of his granddaughter's gifts which forever alter the lives of everyone she encounters."
Delivering Burt,"Three friends (Matt Leuthe, Stephen Millunzi, Mike Carano) obsessed with Burt Reynolds drive a wax Burt Reynolds across the country for BURT REYNOLDS. This is either the least expensive film, or the most expensive home movie ever made. A rough-cut, kinda sloppy, and the music was recorded directly into the video camera or on cassette."
Candy Thieves,A short-film made by Estonians.
Are Husbands Necessary?,"George and Mary Elizabeth Cugat are about to celebrate their second wedding anniversary and dream of having a child. Although they live comfortably on George's earnings as a bank official, Liz's scatterbrained handling of their finances constantly puts them in jeopardy. Liz becomes jealous when George's former girl friend, Myra Ponsonby, comes for a visit with his party-loving friends Bill Stone, Cory Cartwright and Chuck, an artist, after which George spends the entire evening dancing at a nightclub with Myra."
Wanderlei Silva fighting for PRIDE,"Wanderlei Silva, Fighting for PRIDE: Wanderlei Silva will showcase this legendary fighter's greatest matches, which naturally includes some of the most ferocious knockouts in mixed martial arts history! Also featured, a trip to Silva's hometown of Curitiba, Brazil to see the man outside the ring, both with his team and his family."
Legends: The Five Greatest Fighters from Pride FC (Fedor Emelianenko),"Fedor's reign of dominance during his time in Pride was a sight to behold. The Pride heavyweight champion had a trademark style of swinging for the fences with total distain for his opponent without showing a hint of emotion. 'The Last Emperor' had compiled a record of 27-1(1) by the time Pride went under, and many had Fedor at the top of their pound for pound list, and for good reason. Fedor's list of Pride opponents reads like a who's who of MMA. During his four years in Pride FC Fedor faced and defeated Semmy Schilt, Heath Herring, Antonio Rodrigo Nogueira, Mark Coleman, Cro Cop, Mark Hunt and Kevin Randleman to name a few. My all time favorite Fedor moment was when he was suplexed by Randleman on to his head and still won the match by submission."
Raising the Heights,"When a perfect storm breeds violence in the Brooklyn neighborhood of Crown Heights, a black teenager and a Jewish reporter face pivotal choices that could alter the course of their lives."
Rough House Rosie,"A poor but ambitious young girl is determined to crash high society, but isn't prepared for the reception she receives."
Voiceless,"A young, reserved war veteran moves to North East Philadelphia to start an inner city community outreach and puts his life on the line to stand against an abortion clinic that moved across the street from his building."
John Virgo: Playing For Laughs,"John Virgo entertains a packed crowd with his quick-fire wit and amazing trick shots. Special guests turn up throughout to try their hands at Virgo's trick shots, including talented funnyman Mickey Pugh"
Avenge,"In a world where trust is not easily earned, Officer Ramirez (Roberto Mendez) goes under-cover as a streetwise, high-volume drug runner to AVENGE his slain partner's death at the hands of a drug lord named Antonio (Arturo Ramirez) and his right-hand man Dante (Willie Green). These guys have no mercy for any under-cover cop that tries to bring down their empire.  Things take on a new twist when Officer Ramirez realizes that Antonio is merging his affairs with BIG BOSS Casino Jones (Andrew Carter). Now he has to take down the city's biggest drug cartel by himself.  You won't believe how this story will end!"
Yellow Raincoat,"Once a detective gets wrapped up in a complex murder case, he realizes he is more involved than he thinks. As the story unfolds, we slowly plunge into insanity and paranoia until the bloody climax."
